	logFC	logCPM	PValue	FDR
ENSMUSG00000037278	-0.968307561	5.801687405	4.18E-14	1.47E-12
ENSMUSG00000108435	-2.075114879	1.9106437	4.30E-14	1.51E-12
ENSMUSG00000002992	0.935338089	7.464469193	4.82E-14	1.68E-12
ENSMUSG00000020037	1.849470726	1.898975163	4.96E-14	1.73E-12
ENSMUSG00000032271	1.772884781	7.149713071	5.42E-14	1.88E-12
ENSMUSG00000041779	0.886950457	4.441635772	5.66E-14	1.96E-12
ENSMUSG00000020131	-1.317712458	3.978990851	5.76E-14	1.99E-12
ENSMUSG00000032500	-1.586244506	3.604394504	5.91E-14	2.04E-12
ENSMUSG00000032883	-1.104606345	4.125423105	6.75E-14	2.32E-12
ENSMUSG00000027559	-3.164403977	10.71496045	6.90E-14	2.37E-12
ENSMUSG00000028755	1.434906115	3.039926595	7.22E-14	2.47E-12
ENSMUSG00000085834	3.405964364	1.067713343	7.55E-14	2.57E-12
ENSMUSG00000097073	2.764543544	0.941246571	7.65E-14	2.60E-12
ENSMUSG00000003623	1.084727823	8.992066777	8.44E-14	2.86E-12
ENSMUSG00000040128	1.376850088	5.447852394	9.90E-14	3.35E-12
ENSMUSG00000004105	-0.943830682	3.886575598	1.09E-13	3.66E-12
