"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000040296"	-0.909700385949126	4.45387993774615	6.78762717221414e-12	3.88489760732358e-10
"ENSMUSG00000049685"	-1.64570609316548	1.41087869542028	6.81899563464646e-12	3.88489760732358e-10
"ENSMUSG00000031545"	0.743652174200889	8.61575716238026	7.21277936104809e-12	4.08995066303938e-10
"ENSMUSG00000073600"	1.08502829678824	3.10910363121991	7.67471094005632e-12	4.33154947355142e-10
"ENSMUSG00000038422"	-1.06633956482975	3.85189781734783	8.82206919247747e-12	4.95595124217409e-10
"ENSMUSG00000024900"	0.735675393179784	9.01431218864423	9.60249269380427e-12	5.36939383128556e-10
"ENSMUSG00000038884"	-0.722907487308568	4.60061046453153	9.81292403346748e-12	5.46177403116222e-10
"ENSMUSG00000032754"	0.736070089687279	6.30478420480184	1.14210042851247e-11	6.32765549338239e-10
"ENSMUSG00000048249"	0.826408963566172	4.92898683212118	1.39794566732119e-11	7.7097661049796e-10
"ENSMUSG00000033985"	0.845104567839059	4.63097657717032	1.54775853937804e-11	8.49719438118546e-10
"ENSMUSG00000113529"	2.567708936893	-0.115291960346655	1.70093518181669e-11	9.29588014750318e-10
"ENSMUSG00000026131"	0.764580392322248	7.22855187599201	1.74972097931666e-11	9.51942792260659e-10
"ENSMUSG00000041025"	-0.905039735189241	4.34743769921846	1.82308855549129e-11	9.8741092256609e-10
"ENSMUSG00000033863"	0.759189309374812	7.07420393136332	2.1228567987631e-11	1.14463680426164e-09
"ENSMUSG00000031618"	-1.15861298704818	3.59809808562513	2.24626502513994e-11	1.20579506549512e-09
"ENSMUSG00000078566"	0.680793534547301	8.1042857660105	2.53550230803461e-11	1.35503526001956e-09
"ENSMUSG00000030499"	0.83856285030151	3.66063130534475	2.55120629780925e-11	1.35569428611292e-09
"ENSMUSG00000037797"	-0.735021276738705	6.01433704844334	2.56266899197655e-11	1.35569428611292e-09
"ENSMUSG00000022516"	-1.02595787237611	3.63036855015138	2.57040893790245e-11	1.35569428611292e-09
"ENSMUSG00000022791"	0.714607587900604	5.2016277377032	2.62227864913053e-11	1.37703832713907e-09
"ENSMUSG00000022094"	0.746158200629155	7.73078218490134	2.66544016615678e-11	1.3936444297334e-09
"ENSMUSG00000032802"	-0.790180924338535	5.32712438737197	2.68670282024422e-11	1.39870675271162e-09
"ENSMUSG00000052512"	-1.10708385949141	4.40456930053476	2.89480815926367e-11	1.50057909646294e-09
"ENSMUSG00000025854"	-0.695400626376953	5.69113760623558	3.22840157575642e-11	1.66635189025581e-09
"ENSMUSG00000039917"	0.695440018866633	5.19688074991129	3.35243406791094e-11	1.72300845413738e-09
"ENSMUSG00000002897"	0.730385520014614	4.32259253622526	3.44571746589488e-11	1.76344811665586e-09
"ENSMUSG00000037343"	1.0835280503812	4.54676800379317	4.3509928031636e-11	2.2173540538654e-09
"ENSMUSG00000024580"	1.04496816865267	5.45858523619835	4.4149704791774e-11	2.24050476670187e-09
